annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes
RIIB lysis inhibitor,RIIB lysis inhibitor,2209,0.0869,defer,Host_cell_exit,Membrane_disruption,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
RIIA lysis inhibitor,RIIA lysis inhibitor,2021,0.0795,defer,Host_cell_exit,Membrane_disruption,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
peptidase,peptidase,1507,0.0593,defer,Host_cell_exit,Peptidoglycan_degradation,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
transposase,transposase,1367,0.0538,defer,Lifestyle_commitment_switching,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
PAAR motif of membran proteins,PAAR motif of membran proteins,1354,0.0532,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
ParB-like partition protein,ParB-like partition protein,1117,0.0439,defer,Lifestyle_commitment_switching,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
ATP-dependent protease,ATP-dependent protease,1059,0.0416,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
lysis inhibition,lysis inhibition,948,0.0373,defer,Host_cell_exit,Membrane_disruption,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
metallo-protease,metallo-protease,883,0.0347,defer,Host_cell_exit,Host_cell_exit_broad,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
peptidase HslV family,peptidase HslV family,860,0.0338,defer,Host_cell_exit,Peptidoglycan_degradation,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
Sir2 (NAD-dependent deacetylase),Sir2 (NAD-dependent deacetylase),849,0.0334,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
Arc-like repressor,Arc-like repressor,848,0.0333,defer,Gene_expression_reprogramming,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
Rnase E,Rnase E,831,0.0327,defer,Gene_expression_reprogramming,Phage_transcription_machinery,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,RNA/translation processing term retained as defer; adjacent to Gene_expression_reprogramming but not yet a stable v1.1 leaf
high light inducible protein,high light inducible protein,810,0.0319,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
lysis inhibition; accessory protein,lysis inhibition; accessory protein,780,0.0307,defer,Host_cell_exit,Membrane_disruption,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,broad lysis/protease-related term retained as defer under Host_cell_exit scaffold
hydrolase,hydrolase,720,0.0283,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
phosphoadenosine phosphosulfate reductase,phosphoadenosine phosphosulfate reductase,685,0.0269,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
tRNA amidotransferase,tRNA amidotransferase,684,0.0269,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
DksA-like zinc-finger protein,DksA-like zinc-finger protein,661,0.026,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed
antitoxin from a toxin-antitoxin system,antitoxin from a toxin-antitoxin system,629,0.0247,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
toxin,toxin,612,0.0241,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,high,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node
