annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes,status_rank
tail tubular protein,tail tubular protein,21,0.0008,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
tail terminator,tail terminator,6940,0.2729,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail length tape measure protein,tail length tape measure protein,15014,0.5904,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail assembly chaperone,tail assembly chaperone,13238,0.5206,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail chaperonin,tail chaperonin,175,0.0069,defer,Virion_morphogenesis,,,currently insufficient evidence or unstable boundary for L3 assignment,high,yes,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
Tail assembly chaperone,Tail assembly chaperone,716,0.0282,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail completion,tail completion,116,0.0046,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
distal tail protein,distal tail protein,659,0.0259,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail collar fiber protein,tail collar fiber protein,1333,0.0524,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,high,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
tail collar protein,tail collar protein,97,0.0038,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
